ID,Name,Sector,From Municipality,To Municipality,Location,Geometry,Cost,Stage,Schedule,Website,Related Links,Developer,Recently Added,Construction Contractor,Image Filename,Image Source,Details
2256,Highway 11 Pave 12298,Infrastructure,Clearwater County,Red Deer County,,"{ ""type"": ""MultiLineString"", ""coordinates"": [ [ [ -114.880791, 52.319977 ], [ -114.880685, 52.319948 ], [ -114.880438, 52.319878 ], [ -114.88021, 52.319817 ], [ -114.87993, 52.319746 ], [ -114.879654, 52.319678 ], [ -114.87942, 52.319626 ], [ -114.879153, 52.319572 ], [ -114.878836, 52.31951 ], [ -114.878558, 52.31946 ], [ -114.878284, 52.319414 ], [ -114.878011, 52.319373 ], [ -114.877743, 52.319336 ], [ -114.877464, 52.319302 ], [ -114.877186, 52.319272 ], [ -114.876848, 52.319241 ], [ -114.876538, 52.319217 ], [ -114.876308, 52.319201 ], [ -114.876129, 52.31919 ], [ -114.875862, 52.319178 ], [ -114.875615, 52.31917 ], [ -114.875325, 52.31916 ], [ -114.87511, 52.319158 ], [ -114.874698, 52.319155 ], [ -114.873845, 52.319155 ], [ -114.866699, 52.319155 ], [ -114.865362, 52.319156 ], [ -114.865047, 52.319156 ], [ -114.863866, 52.319165 ], [ -114.862049, 52.319157 ], [ -114.860226, 52.319159 ], [ -114.85871, 52.31916 ], [ -114.85844, 52.31916 ], [ -114.857262, 52.319157 ], [ -114.856697, 52.319155 ], [ -114.856204, 52.319154 ], [ -114.85295, 52.319156 ], [ -114.852872, 52.319155 ], [ -114.849136, 52.319154 ], [ -114.847299, 52.319155 ], [ -114.84642, 52.319156 ], [ -114.845893, 52.319155 ], [ -114.84502, 52.319151 ], [ -114.841492, 52.319153 ], [ -114.841431, 52.319153 ], [ -114.839741, 52.319153 ], [ -114.834669, 52.319154 ], [ -114.834393, 52.319153 ], [ -114.810888, 52.319134 ], [ -114.79861, 52.319138 ], [ -114.797251, 52.319137 ], [ -114.796997, 52.319137 ], [ -114.795107, 52.319135 ], [ -114.795053, 52.319135 ], [ -114.793404, 52.319133 ], [ -114.787009, 52.319135 ], [ -114.785851, 52.319124 ], [ -114.785496, 52.319121 ], [ -114.785231, 52.319118 ], [ -114.784855, 52.319115 ], [ -114.778194, 52.319125 ], [ -114.776994, 52.319119 ], [ -114.775532, 52.319112 ], [ -114.775194, 52.319122 ], [ -114.774866, 52.319111 ], [ -114.771934, 52.319128 ], [ -114.77148, 52.319129 ], [ -114.771338, 52.319129 ], [ -114.770188, 52.319138 ], [ -114.769626, 52.319142 ], [ -114.7694, 52.319143 ], [ -114.757108, 52.319123 ], [ -114.756727, 52.319122 ], [ -114.75021, 52.319111 ], [ -114.746907, 52.319112 ], [ -114.745437, 52.319112 ], [ -114.73948, 52.319107 ], [ -114.735113, 52.319104 ], [ -114.734356, 52.319103 ], [ -114.731883, 52.319102 ], [ -114.730522, 52.319101 ], [ -114.723943, 52.3191 ], [ -114.721864, 52.319101 ], [ -114.721472, 52.319099 ], [ -114.716546, 52.319096 ], [ -114.715693, 52.319097 ], [ -114.711091, 52.319103 ], [ -114.709588, 52.319104 ], [ -114.706832, 52.319105 ], [ -114.70649, 52.319106 ], [ -114.705957, 52.319106 ], [ -114.697423, 52.319111 ], [ -114.691862, 52.31912 ], [ -114.690527, 52.319124 ], [ -114.688528, 52.319129 ], [ -114.686227, 52.319124 ], [ -114.683858, 52.319128 ], [ -114.67822, 52.319129 ], [ -114.676889, 52.319131 ], [ -114.674809, 52.319134 ], [ -114.674122, 52.319133 ], [ -114.67394, 52.319133 ], [ -114.673872, 52.319133 ], [ -114.67349, 52.319135 ], [ -114.673276, 52.319137 ], [ -114.672583, 52.319134 ], [ -114.670269, 52.319139 ], [ -114.668047, 52.319141 ], [ -114.66762, 52.319132 ], [ -114.667282, 52.319126 ], [ -114.666479, 52.319129 ], [ -114.665769, 52.319133 ], [ -114.663269, 52.319145 ], [ -114.649452, 52.31915 ], [ -114.644199, 52.319148 ], [ -114.625437, 52.31916 ], [ -114.603079, 52.319161 ], [ -114.602067, 52.319166 ], [ -114.601384, 52.319167 ], [ -114.60062, 52.319167 ], [ -114.596656, 52.319177 ], [ -114.59602, 52.319168 ], [ -114.595621, 52.319162 ], [ -114.595232, 52.319165 ], [ -114.594539, 52.31917 ], [ -114.577376, 52.319169 ], [ -114.572941, 52.319169 ], [ -114.554112, 52.319176 ], [ -114.554052, 52.319176 ], [ -114.55357, 52.319178 ], [ -114.553448, 52.319176 ], [ -114.549058, 52.319176 ], [ -114.548618, 52.319174 ], [ -114.548467, 52.319173 ], [ -114.547014, 52.319171 ], [ -114.546745, 52.319171 ], [ -114.529401, 52.319165 ], [ -114.525313, 52.319166 ], [ -114.506824, 52.319158 ], [ -114.506495, 52.319158 ], [ -114.505406, 52.319158 ], [ -114.50196, 52.319156 ], [ -114.501489, 52.319156 ], [ -114.500135, 52.319154 ], [ -114.5, 52.319154 ], [ -114.499985, 52.319154 ], [ -114.494576, 52.319149 ], [ -114.489202, 52.319146 ], [ -114.481375, 52.319142 ], [ -114.477587, 52.319142 ], [ -114.47179, 52.319135 ], [ -114.468835, 52.319137 ], [ -114.463118, 52.319128 ], [ -114.45759, 52.319124 ], [ -114.456126, 52.319123 ], [ -114.45502, 52.319122 ], [ -114.45465, 52.319121 ], [ -114.453826, 52.319121 ], [ -114.453271, 52.319118 ], [ -114.44902, 52.319095 ], [ -114.446819, 52.319097 ], [ -114.441883, 52.319102 ], [ -114.437726, 52.319106 ], [ -114.436113, 52.319103 ], [ -114.434397, 52.3191 ], [ -114.433355, 52.319096 ], [ -114.430247, 52.319104 ], [ -114.429978, 52.319104 ], [ -114.428994, 52.319101 ], [ -114.42505, 52.319106 ], [ -114.415529, 52.319121 ], [ -114.414999, 52.319125 ], [ -114.41452, 52.319132 ], [ -114.41373, 52.319136 ], [ -114.412709, 52.319139 ], [ -114.412355, 52.319139 ], [ -114.409974, 52.31914 ], [ -114.409376, 52.319142 ], [ -114.406205, 52.319146 ], [ -114.405926, 52.319144 ], [ -114.404971, 52.319137 ], [ -114.40429, 52.319133 ], [ -114.404134, 52.319132 ], [ -114.40339, 52.319137 ], [ -114.402375, 52.319135 ], [ -114.394171, 52.319149 ], [ -114.385352, 52.319164 ], [ -114.382394, 52.319169 ], [ -114.373474, 52.319183 ], [ -114.361388, 52.319216 ], [ -114.360452, 52.319205 ], [ -114.358941, 52.31921 ], [ -114.358652, 52.319211 ], [ -114.358182, 52.319211 ], [ -114.351156, 52.319221 ], [ -114.348447, 52.319227 ], [ -114.346806, 52.319231 ], [ -114.34605, 52.319233 ], [ -114.344939, 52.319242 ], [ -114.344371, 52.319249 ], [ -114.344337, 52.319248 ] ], [ [ -114.097137, 52.28244 ], [ -114.097137, 52.282485 ], [ -114.097129, 52.282751 ], [ -114.097123, 52.282949 ], [ -114.097077, 52.285255 ], [ -114.097112, 52.290102 ], [ -114.097147, 52.294495 ], [ -114.097195, 52.29641 ] ] ] }",$11600000.00,Announced,2014 - 2016,,,Alberta Transportation,false,South Rock,,,From Highway 22 to E of SH 766; SH 781 from Highway 11 to Sylvan Lake.
2260,The Concord,Residential,Calgary,,"(51.0525436401367, -114.075691223145)",,$75000000.00,Announced,2015 - 2018,www.theconcord.ca,"[{""url"":""http://www.calgaryherald.com/business/Concord+project+Calgary+sells+million+condo/10315485/story.html"",""text"":""Oct 21, 2014 - Calgary Herald""}]",Concord Pacific,false,,,,"A 14 floor luxury condo with 185 units between 1000 and 5000 sq ft. Proposed construction of the west tower slated for spring 2015, pending pre-sales. Listed cost is for the west tower only."
2265,Heritage Intrepretive Centre,Tourism / Recreation,Fort Saskatchewan,,"(53.7099990844727, -113.209999084473)",,$7400000.00,Announced,2015 - 2016,,"[{""url"":""http://www.fortsaskonline.com/index.php?option=com_contentandtask=viewandid=18069andItemid=33"",""text"":""Sep 24, 2014 - Fortsaskonline""}]",City of Fort Saskatchewan,false,,,,Cancelled in its present form.
2266,Highway 37/825/15 Intersection Improvement Project,Infrastructure,Sturgeon County,,"(53.7140007019043, -113.26000213623)",,$15000000.00,Announced,,,,Alberta Transportation,false,,,,Project is currently in design.   Proposed improvements include dual lane roundabouts ($17M) or a double T intersection ($15M).
2278,Highway 88 Bridge over Peace River,Infrastructure,Mackenzie County,,"(58.4570007324219, -115.917999267578)",,$9100000.00,Announced,2014 - 2015,,,Alberta Transportation,false,Innovative Civil Constructors,,,
2280,Blackfalds Elementary School,Institutional,Blackfalds,,"(52.3870010375977, -113.776000976563)",,$11300000.00,Announced,2015 - 2016,,,Alberta Infrastructure,false,Shunda Consulting and Construction Management,,,Construction planned to start in April.
2281,The Horizon on 105,Residential,Edmonton,,"(53.551513671875, -113.512588500977)",,$15000000.00,Under Construction,2014 - 2015,http://horizonon105.com/,,PRISM Developments,false,,https://farm9.staticflickr.com/8733/16733352070_e4f71ffba9_b.jpg,"The Horizon on 105, courtesy of the PRISM Group of Companies.","A mixed-use residential/commercial building, which includes 125 apartments and 10,000 Sqft of commercial space."
2283,PARDS Theraputic Centre,Tourism / Recreation,County of Grande Prairie No. 1,,"(55.109001159668, -118.745002746582)",,$5400000.00,Under Construction,2014 - 2015,,,Peace Area Riding for the Disabled Society (PARDS),false,,https://farm9.staticflickr.com/8706/16929655071_740bf38620_b.jpg,"PARDS Theraputic Centre,  courtesy of Stephanie Golder.",A multi-use equine facility.
2284,Strathcona Salt Cavern Storage Project,Oil and Gas,Strathcona County,,"(53.7669982910156, -113.057998657227)",,$200000000.00,Announced,2015 - 2017,,"[{""url"":""http://www.sturgeoncreek.ca/ThePost/NEWS/Entries/2014/7/30_Underground_storage_site_proposed.html"",""text"":""Jul 30, 2014 - Sturgeon Creek Post""}]",ATCO Energy Solutions / Petrogas Energy Corp.,false,,,,"An underground Natural Gas Liquids (NGL) storage facility, which would include four underground storage caverns, a brine storage pond and associated surface facilities for ethylene, propane, butane and condensate."
2290,Carseland-Bow River Headworks System,Infrastructure,Vulcan County,,"(50.2000007629395, -112.669998168945)",,$28700000.00,Under Construction,2014 - 2016,,,Alberta Transportation,false,Graham Construction,,,Main dam and outlet structure rehabilitation.
